QUARTET_TYPE	COUNT(ab|cd)	COUNT(ac|bd)	COUNT(ad|bc)
C13-C2-C2-C3	77	77	6190
C13-C2-C2-C4	78	78	6189
C13-C2-C2-C5	78	78	6189
C13-C2-C2-C6	174	174	12360
C13-C2-C2-C7	97	97	6170
C13-C2-C2-C8	87	87	6180
C13-C2-C2-C9	249	249	18552
C13-C2-C6-C6	6248	19	19
C13-C2-C9-C9	18720	81	81
C13-C3-C6-C6	2078	11	11
C13-C3-C9-C9	6239	28	28
C13-C4-C6-C6	2075	14	14
C13-C4-C9-C9	6241	26	26
C13-C5-C6-C6	2080	9	9
C13-C5-C9-C9	6242	25	25
C13-C6-C6-C7	12	12	2077
C13-C6-C6-C8	14	14	2075
C13-C6-C6-C9	36	36	6231
C13-C6-C9-C9	12493	41	41
C13-C7-C9-C9	6242	25	25
C13-C8-C9-C9	2692	3575	3575
C13-C9-C9-C9	2089	2089	2089
C14-C2-C2-C2	2089	2089	2089
C14-C2-C2-C3	69	69	6198
C14-C2-C2-C4	74	74	6193
C14-C2-C2-C5	72	72	6195
C14-C2-C2-C6	162	162	12372
C14-C2-C2-C7	97	97	6170
C14-C2-C2-C8	85	85	6182
C14-C2-C2-C9	243	243	18558
C14-C2-C6-C6	6253	14	14
C14-C2-C9-C9	18739	62	62
C14-C3-C6-C6	2079	10	10
C14-C3-C9-C9	6244	23	23
C14-C4-C6-C6	2075	14	14
C14-C4-C9-C9	6244	23	23
C14-C5-C6-C6	2082	7	7
C14-C5-C9-C9	6245	22	22
C14-C6-C6-C7	10	10	2079
C14-C6-C6-C8	13	13	2076
C14-C6-C6-C9	33	33	6234
C14-C6-C9-C9	12505	29	29
C14-C7-C9-C9	6243	24	24
C14-C8-C9-C9	2691	3576	3576
C14-C9-C9-C9	2089	2089	2089
C2-C2-C2-C3	2089	2089	2089
C2-C2-C2-C4	2089	2089	2089
C2-C2-C2-C5	2089	2089	2089
C2-C2-C2-C6	4178	4178	4178
C2-C2-C2-C7	2089	2089	2089
C2-C2-C2-C8	2089	2089	2089
C2-C2-C2-C9	6267	6267	6267
C2-C2-C3-C4	6210	57	57
C2-C2-C3-C5	6210	57	57
C2-C2-C3-C6	12400	134	134
C2-C2-C3-C7	6187	80	80
C2-C2-C3-C8	6195	72	72
C2-C2-C3-C9	18591	210	210
C2-C2-C4-C5	6189	78	78
C2-C2-C4-C6	12388	146	146
C2-C2-C4-C7	6174	93	93
C2-C2-C4-C8	6188	79	79
C2-C2-C4-C9	18572	229	229
C2-C2-C5-C6	12374	160	160
C2-C2-C5-C7	6178	89	89
C2-C2-C5-C8	6190	77	77
C2-C2-C5-C9	18564	237	237
C2-C2-C6-C6	6249	18	18
C2-C2-C6-C7	12350	184	184
C2-C2-C6-C8	12372	162	162
C2-C2-C6-C9	37142	460	460
C2-C2-C7-C8	6171	96	96
C2-C2-C7-C9	18491	310	310
C2-C2-C8-C9	18689	112	112
C2-C2-C9-C9	18743	58	58
C2-C3-C6-C6	6230	37	37
C2-C3-C9-C9	18700	101	101
C2-C4-C6-C6	6220	47	47
C2-C4-C9-C9	18686	115	115
C2-C5-C6-C6	6239	28	28
C2-C5-C9-C9	18691	110	110
C2-C6-C6-C7	36	36	6231
C2-C6-C6-C8	41	41	6226
C2-C6-C6-C9	112	112	18689
C2-C6-C9-C9	37433	169	169
C2-C7-C9-C9	18691	110	110
C2-C8-C9-C9	8075	10726	10726
C2-C9-C9-C9	6267	6267	6267
C3-C4-C6-C6	2071	18	18
C3-C4-C9-C9	6231	36	36
C3-C5-C6-C6	2075	14	14
C3-C5-C9-C9	6238	29	29
C3-C6-C6-C7	16	16	2073
C3-C6-C6-C8	19	19	2070
C3-C6-C6-C9	51	51	6216
C3-C6-C9-C9	12463	71	71
C3-C7-C9-C9	6230	37	37
C3-C8-C9-C9	2686	3581	3581
C3-C9-C9-C9	2089	2089	2089
C4-C5-C6-C6	2070	19	19
C4-C5-C9-C9	6240	27	27
C4-C6-C6-C7	18	18	2071
C4-C6-C6-C8	20	20	2069
C4-C6-C6-C9	59	59	6208
C4-C6-C9-C9	12471	63	63
C4-C7-C9-C9	6228	39	39
C4-C8-C9-C9	2684	3583	3583
C4-C9-C9-C9	2089	2089	2089
C5-C6-C6-C7	15	15	2074
C5-C6-C6-C8	18	18	2071
C5-C6-C6-C9	48	48	6219
C5-C6-C9-C9	12465	69	69
C5-C7-C9-C9	6235	32	32
C5-C8-C9-C9	2687	3580	3580
C5-C9-C9-C9	2089	2089	2089
C6-C6-C7-C8	2072	17	17
C6-C6-C7-C9	6222	45	45
C6-C6-C8-C9	6238	29	29
C6-C6-C9-C9	6244	23	23
C6-C7-C9-C9	12467	67	67
C6-C8-C9-C9	5397	7137	7137
C6-C9-C9-C9	4178	4178	4178
C7-C8-C9-C9	2687	3580	3580
C7-C9-C9-C9	2089	2089	2089
C8-C9-C9-C9	2089	2089	2089
